ID,refs,abstractive
Q0001,P5,การประชุมกฎหมายครั้งที่ 29 จัดขึ้นที่ ห้องประชุมกรรมาธิการ N 404 ชั้น 4 อาคารรัฐสภา
Q0002,P49,ในระเบียบวาระที่ 1 เรื่องที่ประธานแจ้งต่อที่ประชุมคือ รายงานผลการพิจารณาศึกษาเรื่อง ปัญหานักโทษล้นเรือนจำ โดยหาแนวทางการย้ายเรือนจำออกจากพื้นที่ชุมชนเมือง และมีข้อเสนอให้ปรับปรุงการบริหารงานราชทัณฑ์ภายในเรือนจำให้มีสภาพที่เหมาะสมทั่วประเทศ โดยมีการบรรจุรายงานดังกล่าวในระเบียบวาระการประชุมสภาผู้แทนราษฎร ชุดที่ 21 ปีที่ 2 ครั้งที่ 17 (สมัยสามัญประจำปีครั้งที่หนึ่ง) วันพฤหัสบดีที่ 22 สิงหาคม พ.ศ. 2567
Q0003,"P55, P56, P57, P58",ในระเบียบวาระที่ 4 เรื่องพิจารณากลั่นกรองเรื่องที่ประชาชนเสนอให้คณะกรรมาธิการศึกษาแก้ไขปัญหา โดย นายประยุทธ์ ศิริพานิชย์ ที่ปรึกษาคณะกรรมาธิการ ได้เสนอแนะว่า การดำเนินการศึกษาในเรื่องร้องเรียนอาจไม่อยู่ในขอบเขตของการสอบหาข้อเท็จจริงที่เป็นการมอบอำนาจหรือมอบหมายให้ผู้อื่นกระทำการแทน
Q0004,"P65, P66",ที่ประชุมได้พิจารณาเรื่องที่ 4 เลขที่ 40/67 ลงวันที่ 4 มีนาคม 2567 ซึ่งเป็นคำร้องทุกข์เร่งด่วนเกี่ยวกับความเดือดร้อนจากการประกาศแนวเวนคืนของกรมทางหลวง ผลการพิจารณาเห็นว่า เรื่องดังกล่าวอยู่นอกเหนืออำนาจหน้าที่ตามข้อบังคับการประชุมสภาผู้แทนราษฎร พ.ศ. 2562 จึงมีมติให้ส่งเรื่องต่อไปยังคณะกรรมาธิการการคมนาคมซึ่งมีหน้าที่และอำนาจโดยตรง พร้อมทั้งยุติการพิจารณาในที่ประชุมนี้
Q0005,"P59, P60",ที่ประชุมพิจารณาแล้วเห็นควรกับเรื่องที่ 1. เลขที่ 21/67 ลงวันที่ 31 มกราคม 2567 และ 38/67 ลงวันที่ 29 กุมภาพันธ์ 2567 เรื่อง ขอความอนุเคราะห์ดำเนินการในส่วนที่เกี่ยวข้อง (การกล่าวอ้างเรื่องการค้างจ่ายเงินให้บริษัทเอกชน) โดยมีการดำเนินการ พิจารณาให้จัดทำหนังสือถึงกรมคุ้มครองสิทธิและเสรีภาพ เพื่อขอทราบความคืบหน้าในการดำเนินการกรณีดังกล่าว เพื่อสามารถนำผลที่ได้รับ มาประกอบการพิจารณาเรื่องดังกล่าวอีกครั้งในลำดับต่อไป
Q0006,"P105, P106, P107, P108","รายละเอียดการทำหนังสือขอความร่วมมือเพื่อขอข้อมูลประกอบการศึกษาของคณะอนุกรรมาธิการศึกษาการปฏิรูปกระบวนการยุติธรรมและสิทธิมนุษยชน มีดังนี้ 
1. จัดทำหนังสือถึงธนาคารแห่งประเทศไทย เพื่อขอข้อมูลแบบฟอร์ม Know Your Customer (KYC) เพื่อทราบเงื่อนไขและขั้นตอนการตรวจสอบก่อนเปิดบัญชี มาตรฐานการเปิดบัญชี มาตรการป้องกันการทุจริตทางการเงิน รวมถึงปัญหาและข้อเสนอแนะด้านการป้องกันอาชญากรรมทางเทคโนโลยี 
2. จัดทำหนังสือถึงสำนักงานศาลยุติธรรม เพื่อขอข้อมูลสถิติและสัดส่วนคดีของผู้ต้องขังระหว่างพิจารณา และผู้ถูกจำคุกตามกฎหมาย ได้แก่ พระราชกำหนดมาตรการป้องกันและปราบปรามอาชญากรรมทางเทคโนโลยี พ.ศ. 2566 พระราชบัญญัติป้องกันและปราบปรามการมีส่วนร่วมในองค์กรอาชญากรรมข้ามชาติ พ.ศ. 2556 รวมทั้งกฎหมายเกี่ยวกับการฉ้อโกงแบบ Romance Scam และการซื้อขายบัญชีออนไลน์ ตลอดจนปัญหาและข้อเสนอแนะเพื่อการป้องกันอาชญากรรมทางเทคโนโลยี"
Q0007,P95,บุคคลที่พ้นจากตำแหน่งตำแหน่งที่ปรึกษาประจำคณะอนุกรรมาธิการศึกษาการปฏิรูป ทบทวน และแก้ไขปรับปรุงกฎหมายคือ นางสาววทันยา บุนนาค เนื่องจากลาออกจากตำแหน่ง และที่ประชุมได้มีมติเห็นชอบเป็นที่เรียบร้อย
Q0008,"P96, P97, P98, P99, P100","ที่ปรึกษาประจำคณะอนุกรรมาธิการศึกษาการปฏิรูป ทบทวน และแก้ไขปรับปรุงกฎหมาย (เพิ่มเติม) ที่ที่ประชุมมีมติเห็นชอบเป็นที่เรียบร้อยแล้ว มีทั้งสิ้น 4 ท่าน ได้แก่ 
1. นางสาวมิรา เวฬุภาค 
2. นายสรัช สินธุประมา 
3. นายสันติ คิศิริธีราเจษฎ์ 
4. นายนครธรรม ประเสริฐศิลป์"
Q0009,"P102, P103, P104",ที่ประชุมมีมติเห็นชอบให้แต่งตั้งนางสาวอณัศยา ปลื้มจิตร เป็นคณะทำงานด้านการพิจารณา ศึกษา และกลั่นกรองเรื่องร้องเรียน ตั้งแต่วันพุธที่ 14 สิงหาคม 2567 เป็นต้นไป
Q0010,P85,คณะกรรมาธิการด้านกฎหมายของรัฐสภาพิจารณา ถูกขอให้ให้ความเห็นเรื่องในประเด็นกฎหมายเรื่องที่ 14. เลขที่ 54/67 ลงวันที่ 22 เมษายน 2567 
